px,py,pz,qx,qy,qz,qw
0.333320,0.081987,0.498311,-0.00011616,0.00033735,0.00013888,0.99999993
0.333320,0.081987,0.498311,-0.00011616,0.00033735,0.00013888,0.99999993
0.333189,0.081144,0.498741,0.00014095,0.00074312,-0.00032012,0.99999966
0.333058,0.080302,0.499170,0.00039805,0.00114888,-0.00077912,0.99999896
0.332927,0.079459,0.499599,0.00065514,0.00155463,-0.00123811,0.99999781
0.332525,0.079275,0.499274,0.00125642,0.00096078,-0.00210865,0.99999653
0.332123,0.079091,0.498949,0.00185780,0.00036683,-0.00297934,0.99999377
0.331720,0.078908,0.498624,0.00245897,-0.00022691,-0.00384971,0.99998954
0.330997,0.077494,0.499977,0.00347004,-0.00294619,-0.00590732,0.99997219
0.330274,0.076080,0.501331,0.00448112,-0.00566555,-0.00796495,0.99994219
0.329550,0.074666,0.502685,0.00549221,-0.00838503,-0.01002261,0.99989953
0.329586,0.076202,0.502290,0.00842939,-0.00997967,-0.01102737,0.99985386
0.329621,0.077739,0.501896,0.01136652,-0.01157420,-0.01203201,0.99979601
0.329656,0.079275,0.501501,0.01430362,-0.01316866,-0.01303655,0.99972598
0.330295,0.080030,0.500848,0.01319181,-0.01376176,-0.01654133,0.99968144
0.330933,0.080785,0.500195,0.01207987,-0.01435463,-0.02004570,0.99962302
0.331571,0.081540,0.499541,0.01096774,-0.01494733,-0.02354989,0.99955074
0.332366,0.082836,0.497822,0.00954221,-0.01442916,-0.02533209,0.99952940
0.333161,0.084131,0.496102,0.00811658,-0.01391089,-0.02711420,0.99950259
0.333956,0.085426,0.494382,0.00669091,-0.01339255,-0.02889617,0.99947030
0.331513,0.082217,0.497588,0.00819943,-0.01127483,-0.02748428,0.99952502
0.329069,0.079009,0.500795,0.00970790,-0.00915696,-0.02607212,0.99957098
0.326625,0.075800,0.504001,0.01121631,-0.00703898,-0.02465972,0.99960820
0.328432,0.077968,0.501503,0.01249913,-0.00889836,-0.02498238,0.99957014
0.330239,0.080136,0.499004,0.01378183,-0.01075763,-0.02530491,0.99952689
0.332046,0.082304,0.496505,0.01506448,-0.01261689,-0.02562731,0.99947842
0.331403,0.082867,0.495775,0.01628068,-0.01571834,-0.02657131,0.99939073
0.330760,0.083430,0.495045,0.01749661,-0.01881944,-0.02751494,0.99929106
0.330116,0.083993,0.494315,0.01871234,-0.02192034,-0.02845825,0.99917940
0.329140,0.083604,0.495155,0.02060072,-0.02264699,-0.02815511,0.99913463
0.328164,0.083215,0.495996,0.02248799,-0.02337315,-0.02785202,0.99908571
